config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring,relevance_ref,relevance_gap,utilization_ref,utilization_gap,completeness_ref,completeness_gap,adherence_ref,adherence_gap
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,50,0.41108878977430285,0.17491733851852406,0.39516666666666667,0.64,done,0.32658687391527536,0.0845019158590275,0.25832244331111964,-0.08340510479259558,0.7012206045588398,-0.30605393789217317,0.8,-0.16000000000000003
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,50,0.2910095416029483,0.12578859418457936,0.24585470085470085,0.46,done,0.13915524928353332,0.15185429231941497,0.10673949681132613,0.01904909737325322,0.6960837142232537,-0.4502290133685528,0.7,-0.23999999999999994
grounded_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,50,48,0.41290859932097673,0.13393432774560224,0.35542279411764705,0.6666666666666666,done,0.32658687391527536,0.08632172540570138,0.25832244331111964,-0.1243881155655174,0.7012206045588398,-0.3457978104411928,0.8,-0.13333333333333341
grounded_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,50,50,0.2775919419493865,0.07556397135622865,0.1572222222222222,0.38,done,0.13915524928353332,0.1384366926658532,0.10673949681132613,-0.031175525455097483,0.6960837142232537,-0.5388614920010315,0.7,-0.31999999999999995
minimal_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|minimal|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,minimal,ollama,50,50,0.4185143241656305,0.36723391580829473,0.4410476190476191,0.52,done,0.32658687391527536,0.09192745025035515,0.25832244331111964,0.10891147249717509,0.7012206045588398,-0.26017298551122076,0.8,-0.28
minimal_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|minimal|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,minimal,ollama,50,50,0.2722580892659312,0.17072555647778803,0.2635612270842738,0.44,done,0.13915524928353332,0.13310283998239789,0.10673949681132613,0.0639860596664619,0.6960837142232537,-0.43252248713897984,0.7,-0.25999999999999995
minimal_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|minimal|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,minimal,ollama,50,49,0.4307741196998969,0.37583039062651596,0.5014222172385437,0.5510204081632653,done,0.32658687391527536,0.10418724578462152,0.25832244331111964,0.11750794731539632,0.7012206045588398,-0.1997983873202961,0.8,-0.2489795918367348
minimal_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|minimal|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,minimal,ollama,50,49,0.21019838206675745,0.1468095586418288,0.3373414142985129,0.42857142857142855,done,0.13915524928353332,0.07104313278322413,0.10673949681132613,0.04007006183050266,0.6960837142232537,-0.35874229992474077,0.7,-0.2714285714285714
grounded_complete_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded_complete|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded_complete,ollama,50,50,0.42035284967381165,0.27970079141900106,0.5141666666666667,0.6,done,0.32658687391527536,0.09376597575853629,0.25832244331111964,0.021378348107881417,0.7012206045588398,-0.18705393789217317,0.8,-0.20000000000000007
grounded_complete_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded_complete|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded_complete,ollama,50,49,0.2665785845689087,0.15081344762803345,0.27603660511823774,0.46938775510204084,done,0.13915524928353332,0.1274233352853754,0.10673949681132613,0.044073950816707314,0.6960837142232537,-0.4200471091050159,0.7,-0.23061224489795912
grounded_bge_norerank.yaml,fixed|sentence_transformer|faiss|dense|none|reverse|grounded|ollama,GenKnowledge,fixed,sentence_transformer,faiss,dense,none,reverse,grounded,ollama,50,50,0.41272307104660044,0.15365530547883488,0.389,0.62,done,0.32658687391527536,0.08613619713132509,0.25832244331111964,-0.10466713783228476,0.7012206045588398,-0.3122206045588398,0.8,-0.18000000000000005
grounded_bge_norerank.yaml,fixed|sentence_transformer|faiss|dense|none|reverse|grounded|ollama,CustomerSupport,fixed,sentence_transformer,faiss,dense,none,reverse,grounded,ollama,50,49,0.24110309512045514,0.09616191849858956,0.2624716553287982,0.40816326530612246,done,0.13915524928353332,0.10194784583692182,0.10673949681132613,-0.010577578312736577,0.6960837142232537,-0.4336120588944555,0.7,-0.2918367346938775
extractive_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|extractive|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,extractive,ollama,50,50,0.40043691387242697,0.16643685821451434,0.3377857142857143,0.58,done,0.32658687391527536,0.07385003995715161,0.25832244331111964,-0.0918855850966053,0.7012206045588398,-0.36343489027312553,0.8,-0.22000000000000008
extractive_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|extractive|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,extractive,ollama,50,50,0.23460386985929157,0.08488765679080662,0.19013888888888889,0.5,done,0.13915524928353332,0.09544862057575826,0.10673949681132613,-0.021851840020519514,0.6960837142232537,-0.5059448253343648,0.7,-0.19999999999999996
